Length,Elevation gain,Rocky,Stairs,Muddy,Roots,Avg_grade,Difficulty,Max_grade,PC1,PC2,PC3
4.9,708,1,0,0,0,0.0273654916512059,3.7818181818181817,0.5794018249209718,-148672568.35881922,8485845.961962646,-23458.301777881894
11.3,1735,1,0,0,0,0.0290795119334942,4.258620689655173,0.5188313160273408,-54588302.696056165,-3757010.4821035382,986069.5659032357
2.4,187,0,0,0,0,0.0147569444444444,2.757142857142857,0.2135666763601618,-173482327.68116614,3495772.8122926797,-563635.7895087256
2.2,410,1,0,0,1,0.0352961432506887,3.761904761904762,0.2920028744306367,-138623811.48374173,239691.18125093592,-32464.37868007474
5.9,2221,0,0,0,0,0.0712955829481253,6.0,0.5977358021137309,2975906262.409669,-398542741.09078395,-4817239.815717027
2.0,131,0,0,0,1,0.012405303030303,1.2758620689655171,0.2491086017213557,-176685593.1344432,2788475.2388171754,-656431.4360325757
2.9,751,1,0,0,0,0.0490464994775339,4.1,0.2792332303975806,-80802910.93171054,-4778336.477871597,1027524.1647437203
3.3,449,0,0,0,0,0.025769054178145,3.88,0.4703849803345145,-163117604.7299594,4031208.340737242,775233.2606728567
2.3,213,0,0,1,0,0.0175395256916996,2.59375,0.2035423170060417,-176178395.1215217,3026886.08321097,-647543.9938994163
0.5,85,0,0,0,0,0.0321969696969696,3.1,0.5119263594911383,-176793688.8272648,2555922.468491113,-669304.9114062957
3.5,492,0,0,1,0,0.0266233766233766,3.325,0.2829928056358897,-176131907.59889078,3205941.6013801713,-511735.73232756415
5.2,423,0,0,0,0,0.0154064685314685,2.652173913043478,0.2142549628440169,-173060981.72821614,5667893.146143046,-567592.030534187
8.1,1755,1,0,0,0,0.0410353535353535,4.142857142857143,0.3186800159978729,296052415.3893143,12570498.688713374,2675532.4778716066
3.3,265,1,0,0,0,0.0152089072543618,2.641509433962264,0.2341004207908476,-176053792.9810832,3263652.777175995,-497552.8025324797
2.7,593,1,1,0,1,0.0415965207631874,3.942307692307693,0.3577910886006941,-86478747.48850635,-2645376.2620098772,-525127.6682322957
4.0,810,1,1,0,0,0.0383522727272727,4.283018867924528,1.3721864418146512,-93161069.40163216,8938815.585597351,-5323.382103899709
2.7,603,0,0,0,0,0.0422979797979797,3.9625,0.2650337647985339,-98469977.62657954,-2168527.823250439,-448095.82047329075
5.5,646,0,0,0,0,0.0222451790633608,2.8157894736842106,0.2647120509638753,-171441313.05737448,6539416.597794322,-460292.2357275971
1.0,88,0,0,0,0,0.0166666666666666,2.933333333333333,0.1971414716700634,-177099654.9237735,2567902.548247907,-676195.6188784676
2.4,600,1,0,0,1,0.0473484848484848,4.125,0.2803837168385046,-111977666.82640213,8343424.119806487,271676.6030466247
